rater_a,rater_b,condition,category,quadratic_weighted_kappa,n_shared_samples
rater_1,rater_2,base,relevance,0.45772920612251233,369
rater_1,rater_2,base,coherence,0.5208507340019645,369
rater_1,rater_2,base,naturalness,0.578176492127426,369
rater_1,rater_2,fine_tuned,relevance,0.42364762846878745,369
rater_1,rater_2,fine_tuned,coherence,0.4414908712515372,369
rater_1,rater_2,fine_tuned,naturalness,0.38882465077033646,369
rater_1,rater_3,base,relevance,0.4185485082269407,369
rater_1,rater_3,base,coherence,0.5273565167448411,369
rater_1,rater_3,base,naturalness,0.6202116368080796,369
rater_1,rater_3,fine_tuned,relevance,0.39832567301378863,369
rater_1,rater_3,fine_tuned,coherence,0.35244223457151214,369
rater_1,rater_3,fine_tuned,naturalness,0.48852536189243256,369
rater_2,rater_3,base,relevance,0.5039320264653937,369
rater_2,rater_3,base,coherence,0.6147213668421576,369
rater_2,rater_3,base,naturalness,0.6749355030760071,369
rater_2,rater_3,fine_tuned,relevance,0.34603936159796345,369
rater_2,rater_3,fine_tuned,coherence,0.36604450088236107,369
rater_2,rater_3,fine_tuned,naturalness,0.4930655501766321,369
