temperature,bertscore_f1,bleurt,n_samples,model_type
0.3,0.8304004669189453,0.3403610867231398,391,baseline
0.4,0.829185962677002,0.3335885027675982,391,baseline
0.5,0.8310059309005737,0.34163904428253394,391,baseline
0.6,0.8295568823814392,0.3362231425693273,391,baseline
0.7,0.8301263451576233,0.3364970187282623,391,baseline
0.3,0.8640086054801941,0.4025703058878889,387,finetuned
0.4,0.8629783391952515,0.39958774021913096,388,finetuned
0.5,0.8600367903709412,0.3963658571588043,389,finetuned
0.6,0.8609179854393005,0.3894410757901441,387,finetuned
0.7,0.8584014177322388,0.39395639774126884,390,finetuned
